Team,ORtg,DRtg,TS%,TOV%,ORB%,DRB%,Season,W%
Los Angeles Clippers,110.1,110.1,0.564,12.5,20.6,74.4,2021,0.5121951219512195
New York Knicks,110.4,110.5,0.55,12.0,25.1,78.8,2021,0.45121951219512196
Chicago Bulls,113.2,113.6,0.579,11.8,20.4,78.3,2021,0.5609756097560976
New Orleans Pelicans,112.0,113.0,0.557,12.5,26.9,78.2,2021,0.43902439024390244
Los Angeles Lakers,110.3,113.3,0.567,12.8,21.1,75.8,2021,0.4024390243902439
Washington Wizards,111.1,114.5,0.568,12.1,20.9,76.9,2021,0.4268292682926829
Indiana Pacers,112.6,116.1,0.564,12.7,25.5,76.2,2021,0.3048780487804878
Sacramento Kings,109.9,115.3,0.561,12.5,21.3,76.0,2021,0.36585365853658536
Detroit Pistons,106.0,113.8,0.533,12.6,23.4,75.6,2021,0.2804878048780488
Orlando Magic,104.5,112.5,0.538,13.0,19.8,77.2,2021,0.2682926829268293
Oklahoma City Thunder,104.6,112.8,0.53,12.5,21.8,76.1,2021,0.2926829268292683
Houston Rockets,108.4,116.7,0.565,14.5,21.7,74.4,2021,0.24390243902439024
Portland Trail Blazers,107.8,116.9,0.55,13.0,22.9,76.9,2021,0.32926829268292684
